,PMV,PPD,SET,Clo,Met,Air temperature (¡C),Relative humidity (%),Air velocity (m/s),Thermal sensation,Radiant temperature (¡C),Globe temperature (¡C),Humidity sensation,Outdoor monthly air temperature (¡F)
294,0.3,7,26.46,0.73,1.2,23.4,58.4,0.01,0,27.1,24.4,0,56.8
295,0.7,14,28.77,1.03,1.2,23.2,57.9,0.09,0,27.5,24.2,0,56.8
296,-0.1,5,25.03,0.73,1,23.1,59.9,0.09,0,27.1,24.1,0,56.8
297,0.6,13,28.48,1.05,1.2,22.8,56.2,0.05,0,27.7,24,0,56.8
298,-0.6,12,23.6,0.7,1.3,18.2,65.1,0.07,0,27.8,20.8,-2,56.8
299,-0.1,5,25.55,1.04,1,21.7,60.1,0.07,0,24.9,22.6,2,56.8
300,0.9,23,30.78,0.97,1.6,22.8,60.2,0.09,-1,27,23.9,0,56.8
301,0.1,5,25.72,0.63,1.2,23,55.4,0.08,0,27.5,24.2,-1,56.8
302,0.9,22,29.23,1.03,1.2,24.6,33.8,0.08,1,30,26,0,52.5
303,0.9,21,28.71,0.71,1.4,24.6,35.2,0.08,0,31,26.3,0,52.5
304,0.5,10,27.47,0.7,1.5,22.7,43.1,0.05,0,28.6,24.1,0,52.5
305,0.1,5,25.86,0.73,1.2,22.5,40.8,0.05,0,29.1,24.2,0,52.5
306,0.3,7,27.66,1.04,1.2,21.3,43.5,0.12,-1,29.3,23.3,0,52.5
307,-0.1,5,25.06,0.73,1.2,23.9,37.6,0.18,0,24,23.9,0,52.5
308,0.6,12,28.05,1.03,1.2,23.6,43.4,0.08,0,25.6,24.1,0,52.5
309,0.7,15,28.59,1,1.2,23.8,44.5,0.08,0,28.1,24.9,0,52.5
310,0.7,16,29.92,0.82,2,20.4,55.2,0.08,0,23.7,21.2,0,55.4
311,0,5,26.55,1.16,1.2,20.5,54.6,0.15,0,22.8,21.1,-1,55.4
312,0.4,9,27.58,0.65,1.9,20.6,54.1,0.1,0,23.4,21.3,0,55.4
313,-0.1,5,25.42,0.97,1.3,20,49.4,0.09,-2,22.9,20.8,-1,55.4
314,0.3,7,27.8,1.11,1.3,20.7,55.3,0.11,-2,22.2,22,2,55.4
315,1.5,53,34.49,1.09,2.5,21.7,50.5,0.09,1,22.2,22.2,-1,55.4
316,0.4,8,27.32,0.73,1.6,21.8,50.8,0.08,1,24,22.3,-1,55.4
317,0.4,8,27.76,1.01,1.3,21.6,53.1,0.07,0,25.2,22.4,2,55.4
318,0.1,5,25.96,0.75,1.3,21.6,51.1,0.07,0,26.3,22.7,0,55.4
319,0.5,9,28.37,0.8,1.6,21.1,49.4,0.14,-1,27.9,22.7,2,55.4
320,1.1,30,31.53,0.75,2.2,21.9,49.1,0.1,1,26.5,22.9,-1,55.4
321,0.8,17,29.81,0.68,2.5,18.4,53.6,0.02,-1,21.4,19.2,0,57.5
322,0,5,26.27,1.17,1.3,18.6,53.8,0.04,0,22.2,19.5,0,57.5
323,1,27,31.74,0.82,2.5,19.1,52.8,0.05,-2,22.5,19.9,0,57.5
324,-0.2,6,24.81,1.07,1.2,19.2,53.1,0.05,-2,22.2,20,0,57.5
325,1.1,32,32.86,0.96,2.5,19.8,54,0.09,0,20.1,19.9,0,57.5
326,1,27,30.57,0.61,2.5,21.1,49.9,0.06,0,21.3,21.1,2,57.5
327,-0.3,7,24.33,0.82,1.2,21.3,46.6,0.05,0,22.4,21.6,0,57.5
328,0.7,16,29.65,0.93,1.7,22.1,45.7,0.03,0,22.9,22.3,0,57.5
329,0.3,7,27.13,1.1,1.2,21.5,46.5,0.08,0,24.9,22.4,0,57.5
330,0.7,14,29.66,1.07,1.6,21.2,48.9,0.04,0,24.6,22.1,0,57.5
331,-0.4,8,24,0.83,1.2,20.5,52.7,0.04,0,23.1,21.1,0,57.5
332,0.1,5,26.03,1.03,1.2,21.2,51.6,0.06,0,23.1,21.6,0,57.5
333,0,5,25.75,0.77,1.3,21.3,51.9,0.06,-1,25.8,22.3,0,57.5
334,1,28,30.98,0.67,2.4,21.3,53.3,0.01,0,22.8,21.6,0,57.5
335,0.7,15,29.66,1.05,1.6,21.8,52.2,0.07,1,22.2,21.9,0,57.5
336,0.6,12,28.3,0.62,1.9,21.6,57.2,0.07,0,24.7,22.3,0,57.5
337,0.1,5,25.69,0.87,1.2,22.5,50,0.05,1,22.6,22.5,0,57.5
338,0.5,11,28.53,0.98,1.2,23.5,66.4,0.13,0,24.7,23.8,0,63.5
339,0.5,10,27.95,0.83,1.2,23.5,69.7,0.11,2,26.3,24.2,0,63.5
340,1,25,29.99,0.68,2,23.3,63.9,0.24,0,26.2,24,0,63.5
341,0.8,20,30.21,0.83,1.6,23.5,63.5,0.11,1,26.1,24.1,0,63.5
342,0.4,9,27.9,0.8,1.2,23.5,68.8,0.13,2,27.1,24.4,2,63.5
343,1.8,68,35.49,0.79,2.7,23.1,72.3,0.13,2,27,24.1,0,63.5
344,1.6,55,33.12,0.5,2.7,23.2,60.8,0.11,0,26.8,24.1,0,63.5
345,0.5,11,27.91,0.8,1.2,24.2,63.4,0.11,2,25.9,24.7,2,63.5
346,0.4,8,27.46,0.68,1.2,24.6,64,0.14,1,26.5,25.1,1,63.5
347,0.8,18,29.28,0.85,1.2,24.8,61.8,0.14,1,28.2,25.7,0,63.5
348,0.4,8,27.36,0.61,1.2,24.5,63.7,0.14,0,28.1,25.5,0,63.5
349,0.7,16,29.33,0.93,1.2,24.4,64.3,0.14,0,26.9,25.1,0,63.5
350,0.4,8,27.44,0.63,1.2,24.4,65,0.14,0,28.2,25.3,0,63.5
351,0.9,24,30.2,0.98,1.2,24.5,64,0.11,0,29,25.6,0,63.5
352,0,5,26.13,0.77,1.2,22.7,67.7,0.14,0,24.2,23.1,0,62.4
353,0.2,6,26.26,0.74,1.2,22.5,63.1,0.09,0,27.2,23.6,-1,57.7
354,1.1,31,31.43,0.62,2.2,22.3,63.2,0.1,0,27.1,23.5,0,57.7
355,0.6,12,28.23,0.68,1.5,23,63.4,0.08,0,27.6,24.1,-1,57.7
356,0.3,7,26.8,0.76,1.2,22.9,63.5,0.07,0,27.9,24,0,57.7
357,0.4,8,27.35,0.6,1.5,22,64.5,0.04,0,28.7,23.6,0,57.7
358,0.3,7,26.87,0.78,1.2,22.6,63.1,0.07,0,28.8,24,0,57.7
359,0.3,8,26.98,0.73,1.2,22.8,62.8,0.08,0,29.8,24.4,0,57.7
360,0.8,17,29.36,1.04,1.2,23.2,58.7,0.1,0,29.3,24.7,1,57.7
361,0.3,6,26.83,0.73,1.2,22.9,57.7,0.12,0,28.7,24.3,0,57.7
362,0.1,5,26.21,0.86,1,23.2,54.5,0.1,0,28.2,24.5,0,57.7
363,0.6,14,28.59,1.09,1.2,23.3,66.1,0.3,1,28.9,24.5,-2,57.7
364,0.6,13,29.01,1.04,1.2,23,61.7,0.13,0,27.7,24.1,1,57.7
365,0.4,9,27.49,0.99,1.2,22.4,50.3,0.08,1,26.6,23.5,1,57.7
366,0.5,9,27.87,0.77,1.4,21.9,65,0.08,-2,26.6,23.1,-1,56.6
367,1.3,42,34.05,0.92,2.3,21.4,66.3,0.05,0,25.3,22.4,0,56.6
368,-0.2,6,24.75,0.95,1.2,20.5,53,0.08,0,21.8,20.8,-1,50.3
369,-0.2,6,24.67,0.8,1.2,21.2,52.2,0.06,1,24.5,22,0,50.3
370,1.3,43,33.12,0.82,2.4,22.3,50.9,0.07,0,24.7,22.8,0,50.3
371,-0.8,18,23.19,0.74,1,20.6,56.2,0.08,-2,27.5,22.3,0,50.3
372,0.2,6,26.08,0.62,1.6,21.5,49.4,0.08,0,24,22.1,0,48.9
373,0.1,5,26.25,0.83,1.2,22.7,45.2,0.13,0,25.9,23.4,1,48.9
374,0.5,11,28,0.96,1.3,23,40.6,0.09,0,25.7,23.7,2,48.9
375,0.7,14,28.66,1.12,1.2,23.1,39.7,0.07,0,28.2,24.4,2,48.9
376,0.1,5,25.6,0.73,1.1,23.7,41.6,0.08,2,29,24.9,0,48.9
377,0.7,14,28.33,0.92,1.3,23.6,41.3,0.08,0,28.8,24.9,-1,48.9
378,0,5,25.75,0.74,1.2,21.9,46.4,0.08,0,29.1,23.6,0,48.9
379,0.4,8,27.15,0.79,1.3,22.2,46.8,0.08,0,29.2,23.8,0,48.9
380,0.6,13,28.4,0.79,1.4,22.9,55.3,0.09,0,30.8,24.3,0,48.9
381,0.6,13,28.8,0.68,1.7,22.9,53.3,0.14,1,26.8,23.8,1,51.1
382,0.5,11,28,1.03,1.2,22.7,49.6,0.09,0,27.4,23.7,0,51.1
383,0.6,13,28.81,1.07,1.2,22.7,56.6,0.1,1,28.4,24,0,51.1
384,0.7,15,28.45,0.66,1.5,23.5,53.3,0.09,2,29,24.7,2,51.1
385,0.7,15,28.85,1.03,1.2,22.5,54.6,0.09,2,31.6,24.5,0,51.1
386,0.6,13,28.58,1.03,1.2,22.5,54.8,0.07,1,30.6,24.3,0,51.1
387,0.6,13,28.48,1.04,1.2,22.6,55,0.09,0,29,24,1,51.1
388,0.7,14,28.95,1.07,1.3,22.8,55.2,0.08,2,27.6,23.8,2,51.1
389,0.2,6,26.04,0.73,1.2,22.7,48.6,0.03,0,30.4,24.3,2,51.1
390,0.2,6,26.43,0.74,1.2,22.8,48.2,0.05,1,31.4,24.5,1,51.1
391,0.8,20,29.62,0.98,1.4,23.6,45,0.09,1,29.6,24.9,2,51.1
392,0.7,16,28.4,0.67,1.5,23.6,45.1,0.04,0,31.3,25.2,0,51.1
393,0.1,5,25.67,0.7,1.3,22.3,35.7,0.05,0,28.6,23.8,0,51.4
394,0.1,5,26,0.7,1.4,21.9,40,0.08,2,27.6,23.2,1,51.4
395,1.1,28,29.96,0.67,1.8,24.8,36.5,0.07,0,27.5,25.5,2,51.4
396,1.4,46,32.72,0.88,2,24.5,33.6,0.09,1,30.2,26,1,51.4
397,0.2,6,26.94,1.03,1.2,20.6,37.4,0.05,0,31.1,23.3,2,51.4
398,0.9,22,29.25,1.09,1.2,25,32.8,0.06,2,27.6,25.7,0,51.4
399,1,27,31.76,1.32,1.6,22.3,38.6,0.07,0,28.3,23.8,1,51.4
400,0.4,9,27.71,0.87,1.4,22.9,42.5,0.15,0,24.6,23.3,1,51.4
401,0.3,7,27.02,1.03,1.2,22.5,36.6,0.23,-2,28.7,23.9,0,51.4
402,0.8,17,29.39,0.94,1.6,22.6,35.7,0.09,0,28.4,23.9,0,51.4
403,0.2,6,26,0.73,1.2,23.4,43.2,0.08,2,27.1,24.1,2,51.4
404,0.7,14,28.49,1.04,1.2,23.6,43.4,0.09,1,28.2,24.5,1,51.4
405,0.5,11,27.46,0.71,1.3,23.8,42.8,0.08,1,29.9,25,-1,51.4
406,0.8,19,29.28,0.76,1.6,23.6,42.9,0.1,0,30,24.9,0,51.4
407,0.4,8,26.75,0.73,1.2,23.6,42.4,0.08,0,30.1,24.9,0,51.4
408,-0.7,15,22.76,0.68,1.2,20.8,38.9,0.07,0,22.4,21.2,0,47.9
409,0.1,5,26.19,0.99,1.4,20.2,35.6,0.07,0,23,21,0,47.9
410,-0.3,6,24.63,0.88,1.3,20.1,35.6,0.06,0,24.2,21.2,0,47.9
411,-0.1,5,25.76,1.15,1.2,19.2,39.1,0.12,0,24,20.5,0,47.9
412,0.3,7,27.57,0.96,1.6,19.5,40.6,0.08,0,24.3,20.8,0,47.9
413,0.6,13,29.56,0.88,2,19.5,45.3,0.11,-2,23.9,20.5,2,47.9
414,0.6,13,29.59,0.89,2,19.9,44.9,0.15,-1,23.7,20.7,1,47.9
415,0.4,8,28.07,0.97,1.6,19.9,43.9,0.1,0,25.1,21.1,0,47.9
416,0.1,5,26.56,0.98,1.5,19.3,43.4,0.06,0,24.2,20.5,0,47.9
417,0.3,8,27.72,0.97,1.6,19.8,43.1,0.08,1,24,20.8,0,47.9
418,0.4,9,27.85,1.21,1.2,22.4,36.9,0.07,1,24.2,22.8,0,47.9
419,1,28,31.24,0.9,2,22.1,37.7,0.06,0,26.9,23.3,0,47.9
420,0.8,18,29.54,0.96,1.6,22.6,37.8,0.04,0,27,23.6,0,47.9
421,-0.1,5,25.74,1.03,1.2,19.4,43.6,0.08,0,27.8,21.4,2,47.9
422,0.2,6,26.23,0.8,1.4,21.8,38.4,0.04,0,25.4,22.7,0,47.9
423,0.8,19,30.21,1.03,1.7,21.6,40.1,0.05,0,26,22.7,0,47.9
424,0.5,10,28.15,1.22,1.2,22.1,39.4,0.05,0,26.4,23.1,1,47.9
425,0.7,17,29.1,0.74,1.8,22,41.2,0.05,0,27.6,23.3,0,47.9
426,-0.1,5,25.23,0.83,1.2,21.3,40.5,0.04,0,27,22.8,0,47.9
427,0.9,23,29.07,1.04,1.2,26.7,28.5,0.04,1,23.6,25.9,2,47.9
428,0.3,7,26.98,0.74,1.3,22.7,37.8,0.15,0,29.5,24.3,1,47.9
429,0.3,7,26.12,0.63,1.2,24.4,34.5,0.06,1,28.4,25.4,1,47.9
430,0.6,12,28.03,0.98,1.2,23.4,39.7,0.06,0,29.3,24.7,1,47.9
431,0.8,19,29.21,1.08,1.3,23.8,36.1,0.07,0,28.8,25,0,47.9
432,0.6,14,27.61,0.74,1.2,24.8,34.5,0.05,0,31,26.3,0,47.9
433,1.1,29,30.13,1.01,1.3,25.2,36.3,0.05,0,31,26.6,0,47.9
434,0.9,21,31.9,1.16,1.9,21,55.9,0.11,0,21.6,21.2,0,56.7
435,-0.5,11,23.33,0.69,1.2,20.8,57,0.09,0,23.1,21.4,0,56.7
436,0.3,6,26.99,0.71,1.6,20.9,57.2,0.11,0,24.6,21.8,0,56.7
437,0.5,10,28.46,1.06,1.4,21.3,55,0.06,0,24.2,22.1,0,56.7
438,0.3,7,27.37,0.81,1.6,20.4,57.4,0.11,0,23.9,21.2,0,56.7
439,0.3,7,27.63,1.19,1.2,21,56.8,0.11,-1,24.9,21.8,0,56.7
440,-0.2,6,24.73,0.77,1.2,21.5,55.6,0.06,0,24.5,22.2,2,56.7
441,0.2,6,26.74,1.03,1.2,21.7,55.4,0.1,1,23.9,22.2,2,56.7
442,0.4,8,27.75,1.18,1.2,22.1,54.9,0.09,1,22.3,22.2,2,56.7
443,0.6,13,29.09,0.99,1.5,22.5,54.2,0.1,2,23.5,22.7,-2,56.7
444,0.6,13,29.29,0.84,1.7,21.2,55.7,0.11,-1,25.9,22.2,-2,56.7
445,0.4,9,27.95,1.21,1.2,21.7,56.3,0.05,0,23.7,22.2,0,56.7
446,0.9,24,31.42,0.99,1.8,22.1,57.4,0.06,2,25,22.7,0,56.7
447,0.5,10,27.98,0.79,1.5,22.1,58.4,0.09,0,26.7,23.1,0,56.7
448,0,5,25.86,0.83,1.4,20.1,57.2,0.06,0,24.1,21.1,0,56.7
449,-0.1,5,25.05,0.89,1.2,20.9,56.3,0.05,0,23.6,21.6,0,56.7
450,0.8,19,30.81,0.93,2.3,19.3,45.7,0.05,0,19.9,19.5,-1,56.1
451,0.8,19,31.03,0.99,2.2,19.4,42.5,0.12,-2,20.9,19.8,0,56.1
452,0.3,7,26.96,0.66,2,19.8,42.8,0.1,2,20.7,20,0,56.1
453,1,27,31.56,0.81,2.4,20.5,51.9,0.05,0,21.2,20.6,-2,56.1
454,0.7,14,28.98,0.71,2.1,20.9,49.5,0.02,0,21.2,21,0,56.1
455,0.7,17,29.95,0.94,1.9,21.1,45.6,0.05,0,22.8,21.6,0,56.1
456,0.3,7,27.06,0.83,1.5,21.5,45.4,0.06,0,22.6,21.8,0,56.1
457,0.2,6,26.6,1.03,1.2,21.6,43,0.08,0,24.9,22.5,0,56.1
458,0.5,10,27.61,0.76,1.6,22.5,40.9,0.07,0,23.6,22.8,0,56.1
459,0.7,17,29.3,0.69,2,21.7,47.7,0.1,1,24,22.2,-1,56.1
460,0.1,5,26.76,1.15,1.3,19.7,49.8,0.06,-1,23.4,20.4,0,42.6
461,0.4,8,28.25,1.34,1.3,19.8,49.8,0.04,-2,23.6,20.5,0,42.6
462,0.5,11,29.1,1.07,1.7,19.7,49.5,0.06,0,26,20.9,0,42.6
463,0.1,5,26.39,1.17,1.2,19.6,50,0.07,-1,27,21,0,42.6
464,0.1,5,26.66,1.2,1.2,19.5,51.2,0.08,-1,27.2,20.9,0,42.6
465,0.3,7,27.48,1.04,1.4,19.7,51.4,0.08,-2,26.6,20.9,0,42.6
466,0.1,5,26.44,1.07,1.3,19.5,51.8,0.07,-2,25.9,20.7,-1,42.6
467,0,5,26.14,1.14,1.2,19.3,57,0.07,0,28.2,20.7,0,42.6
468,-0.2,6,25.27,1.21,1,19.7,57.4,0.09,0,28.9,21.1,0,42.6
469,0.6,12,29.43,1.13,1.6,20,58.2,0.08,0,27,21.1,0,42.6
470,0.1,5,26.68,1.21,1.2,19.7,57.3,0.06,-2,26.3,20.8,-1,42.6
471,0.5,11,29.42,1.62,1.2,19.6,57.9,0.05,-1,27.9,21,-2,42.6
472,1,26,32.48,1.09,2.1,19.5,58.8,0.09,0,29,21,0,42.6
473,1.1,30,32.35,0.97,1.9,20.3,56.5,0.08,0,40.8,23.6,0,42.6
474,0.7,17,32.2,1.44,2,16.1,57.4,0.05,0,21.9,17.8,-2,54.1
475,0.4,8,27.84,0.58,2.6,16,58.8,0.08,0,21.5,17.5,-1,54.1
476,0,5,26.82,1,1.8,15.3,59.6,0.12,-2,19.9,16.6,-2,54.1
477,1.1,29,32.9,0.93,2.7,17.1,64.5,0.11,0,20.3,17.9,0,54.1
478,0.3,7,27.13,1.12,1.2,22,48.6,0.09,0,22.9,22.2,0,54.1
479,-0.1,5,25.59,1.03,1.2,19.8,54.5,0.11,0,25,20.9,0,54.1
480,1.5,53,36.02,1.38,2.8,17.2,62.9,0.08,-2,23.9,18.7,-3,54.1
481,0.1,5,25.86,0.63,1.7,20.3,53.6,0.06,2,22.4,20.9,2,54.1
482,0.1,5,26.66,1.29,1.2,19.2,56.9,0.03,-1,24.4,20.3,0,54.1
483,0.8,19,30.92,0.97,2,19.7,56.3,0.07,0,24,20.8,1,54.1
484,0.9,21,30.72,0.9,1.9,21.3,53.6,0.06,1,25.2,22.3,2,55.8
485,0.6,13,29.16,0.75,1.9,20.2,61.7,0.06,-1,25.5,21.5,-1,55.8
486,0.1,5,26.05,1.14,1,21.8,59.7,0.06,0,24.8,22.5,-1,55.8
487,0.4,9,27.52,0.69,1.6,21.8,53.9,0.07,-1,25.9,22.8,0,55.8
488,0.5,9,28.3,1.01,1.5,21.2,60.7,0.04,1,21.9,21.4,0,60.1
489,0.9,24,32.67,1.39,1.7,20.3,62.7,0.04,0,23.6,21.1,-1,60.1
490,0.3,7,27.29,0.92,1.4,21.1,59.7,0.09,-2,23.6,21.8,1,60.1
491,0.2,6,26.33,0.89,1.3,21.6,57.2,0.08,0,24,22.2,0,60.1
492,0.4,8,27.66,1.11,1.2,21.6,59.9,0.07,0,25.2,22.4,-1,60.1
493,0.6,14,29.38,1.05,1.5,21.9,58.2,0.03,-1,24.7,22.6,-1,60.1
494,0.5,9,28.1,1.16,1.2,22.1,60.7,0.09,0,23.5,22.4,-2,60.1
495,0.4,9,28.2,0.97,1.4,21.1,68.5,0.09,0,24.4,22,-1,60.1
496,0.7,14,29.67,1.17,1.4,21.3,62,0.08,-1,25.1,22.2,-2,60.1
497,0.7,15,29.52,0.69,1.9,21.7,62.7,0.11,-2,25.3,22.5,-1,60.1
498,0.7,14,29.5,1.02,1.4,21.9,62.8,0.1,0,26.1,22.8,-2,60.1
499,0.8,19,30.07,0.72,2,21.3,62.3,0.06,0,24.5,22.1,0,60.1
500,0,5,26.15,1.08,1.2,20.2,56.5,0.03,0,23.4,21,1,54.7
501,-0.1,5,25.37,0.79,1.3,20.7,51.4,0.04,0,25.2,21.8,0,54.7
502,0.2,6,26.7,1.12,1.2,20.7,54.3,0.02,0,25.2,21.8,0,54.7
503,0,5,26.07,1.09,1.2,20,55.3,0.03,0,25.3,21.3,0,54.7
504,0.2,6,26.5,0.73,1.5,20.5,55.8,0.04,1,26.2,21.8,-3,54.7
505,0.3,6,26.89,0.73,1.6,20.5,56.3,0.03,0,26,21.9,0,54.7
506,0.6,13,29.28,0.95,1.7,20.7,56.1,0.02,1,25.4,21.8,0,54.7
507,0.6,12,29.45,1.29,1.4,20,55.8,0.05,0,27.1,21.7,1,54.7
508,0,5,25.93,1.03,1.2,20,56.6,0.05,0,26.3,21.5,0,54.7
509,-0.2,6,24.54,0.82,1.2,21.1,57.2,0.04,0,23.6,21.6,-1,54.7
510,-0.4,8,24.05,0.87,1.2,19.5,58.3,0.08,0,24.5,20.6,-1,54.7
511,0.8,18,29.48,0.63,2.1,21.2,56.4,0.02,0,25.4,22.1,2,54.7
512,1.4,43,33.59,1,2.7,18.8,57.4,0.02,0,23.3,19.9,0,52.7
513,-0.1,5,25.1,1.04,1.2,20.2,50.3,0.05,0,21.7,20.6,-1,52.7
514,0.9,21,31.02,1,1.8,21.3,57.3,0.04,1,25.2,22,-1,51.5
515,0.4,9,28.12,1.11,1.3,21.5,56.6,0.04,0,25.8,22.3,0,51.5
516,0.4,9,28.14,1.01,1.4,21.3,57.3,0.03,0,26.9,22.3,0,51.5
517,0.3,6,27.12,1.07,1.2,21,58,0.06,0,27.8,22.3,0,51.5
518,0.4,8,28,1.26,1.2,20.6,61.3,0.05,0,26.7,21.7,0,51.5
519,0.2,6,26.86,1.09,1.2,20.7,61.6,0.05,0,27,21.8,0,51.5
520,0.1,5,26.55,1.03,1.2,20.7,60.4,0.04,0,28.4,22.1,0,51.5
521,0.4,8,28.03,1.16,1.3,20.8,61.4,0.04,0,25.9,21.7,0,51.5
522,0.1,5,26.15,0.7,1.5,20.6,61.9,0.03,-1,26.7,21.7,-1,51.5
523,0.1,5,26.31,0.98,1.2,20.9,61.5,0.04,-1,28.2,22.1,-2,51.5
524,0.4,9,27.97,1.08,1.3,21.3,59.9,0.06,-1,28.1,22.5,-1,51.5
525,-0.1,5,25.06,0.81,1.3,21,57.7,0.02,0,25.9,22,0,49
526,0.6,11,28.89,0.96,1.6,21.1,59.1,0.02,1,27.1,22.2,0,49
527,0.2,5,26.43,0.73,1.6,20.2,62.2,0.03,0,27.5,21.5,0,49
528,0.6,12,30.95,1.39,2,15.7,48.1,0.1,-2,19.2,16.6,-3,44.5
529,-0.2,6,25.41,0.97,1.9,13.1,60,0.11,-2,18.5,14.5,-3,44.5
530,0.5,9,29.25,1.23,1.7,19.4,38.8,0.13,0,19.5,19.4,1,44.5
531,0.2,6,27.2,0.93,1.7,17.7,47.8,0.08,0,23.4,19.2,0,44.5
532,-0.1,5,25.59,1.02,1.3,20.6,45.5,0.12,0,21.4,20.8,-1,44.5
533,0.3,7,27.19,0.62,1.9,20.4,45.9,0.12,1,24.1,21.2,0,44.5
534,0,5,25.92,1.04,1.2,20.5,46.3,0.11,-1,24.8,21.4,-1,44.5
535,0.8,19,30.33,0.88,2,20.5,47.1,0.09,2,25.3,21.5,2,44.5
536,0.3,7,27.45,1.09,1.2,22.4,38.5,0.12,0,25.4,23.1,0,44.5
537,-0.1,5,25.04,0.8,1.2,22,41.8,0.07,0,24.7,22.6,0,44.5
538,0.9,21,30.35,0.98,1.7,22.4,40.9,0.07,2,26.7,23.3,2,44.5
539,1,26,31.26,0.99,1.7,23.3,40.6,0.11,1,27,24.1,0,44.5
540,0.5,9,27.27,0.87,1.2,23.5,40.1,0.07,0,28.4,24.6,1,44.5
541,0.5,9,27.43,0.82,1.2,23.6,40.8,0.11,0,29.9,24.9,0,44.5
542,0.6,12,28.42,1.08,1.2,22.4,41.5,0.1,1,30.7,24.1,2,44.5
543,0.4,8,27.84,1.13,1.2,21.7,46.2,0.1,2,27.8,22.9,1,44.5
544,0.7,15,29.33,0.97,1.6,21.9,45.8,0.08,1,27.9,23.1,1,44.5
545,0.8,20,29.56,0.98,1.5,23.3,32.4,0.09,0,28.5,24.6,1,44.5
546,0.6,11,28.73,1,1.4,21.5,31.9,0.13,-1,30.6,23.8,0,44.5
547,0.6,14,29.24,1.41,1.2,21.7,32.3,0.06,2,28.6,23.4,0,44.5
548,0.3,6,26.77,0.89,1.4,21.6,32,0.05,-1,27.2,23,0,44.5
549,-0.3,7,24.34,0.81,1.2,21,34,0.08,0,25,21.9,0,44
550,0.3,6,27.22,0.99,1.6,19.5,36.9,0.08,0,22,20.2,1,42.6
551,0.7,17,30.24,1.01,2,19.8,37.6,0.08,-1,22.7,20.5,-1,42.6
552,1.2,35,32.52,0.91,2.5,20,39.2,0.05,-1,23.6,20.9,-1,42.6
553,1.2,37,33.57,1.1,2.4,20.4,39,0.1,0,23.7,21.2,0,42.6
554,1.2,34,33.01,0.99,2.4,20.5,39.4,0.14,0,25,21.5,0,42.6
555,-0.1,5,25.57,1.06,1.2,20.2,35.6,0.05,0,24.8,21.4,1,42.6
556,0,5,25.79,1.04,1.2,20.5,34.1,0.08,0,25.3,21.7,0,42.6
557,0.4,8,27.85,1.06,1.5,20.6,34.6,0.06,0,25.1,21.7,0,42.6
558,0.3,6,27.26,0.97,1.6,19.1,39.9,0.08,0,25.9,20.8,0,42.6
559,1.1,32,32.44,0.98,2.4,20,35.9,0.04,0,25,21.3,0,42.6
560,0.8,17,29.89,1.02,1.7,22.3,33.7,0.16,0,24.6,22.8,0,42.6
561,0.4,9,27.72,1.09,1.2,22.3,34.6,0.09,0,27.8,23.6,0,42.6
562,0.3,6,27.35,1.09,1.2,21.2,36.6,0.18,2,29.8,23.2,2,42.6
563,0.5,10,28.27,1.07,1.4,21.4,35.1,0.05,0,25.8,22.5,0,42.6
564,-0.2,6,24.65,0.72,1.3,21.1,35.4,0.06,0,27,22.6,0,42.6
565,-0.2,6,24.87,0.73,1.3,20.7,37.5,0.09,-1,28.1,22.4,0,42.6
566,1.6,57,33.87,0.93,2.7,21.9,35.8,0.12,0,27.2,23.2,0,42.6
567,0.6,12,28.51,0.79,1.6,21,38.3,0.12,0,31.6,23.4,0,42.6
568,1,25,31.39,0.99,2,21,40.8,0.07,1,26.3,22.3,0,42.6
569,0.4,9,27.45,1.05,1.2,22.6,34,0.08,0,26.5,23.6,2,42.6
570,0.6,13,28.45,1.05,1.3,23.1,34.7,0.07,0,27.1,24.1,2,42.6
571,0,5,25.9,1.03,1.2,20.4,44.5,0.11,0,25.7,21.5,0,42.6
572,0.4,8,28.8,1.06,2,16.4,50.5,0.06,0,20.4,17.3,0,44.7
573,-0.1,5,25.64,1.06,1.3,19.4,45.5,0.05,0,22.4,20.1,0,44.7
574,0,5,25.93,0.92,1.3,20.9,37.6,0.14,2,23.8,21.7,2,44.7
575,-0.5,9,23.88,1.09,1.2,18,53.2,0.07,0,21.2,18.8,0,47.9
576,-0.4,9,24.14,1.08,1.2,18.2,53,0.07,0,22,19.1,0,47.9
577,-0.2,6,25.24,1.09,1.4,17.7,50.4,0.05,0,21.8,18.8,-1,47.9
578,0.5,11,29.53,1.02,2,17.8,49.7,0.07,-1,21.6,18.8,0,47.9
579,0.2,6,27.22,1.06,1.6,17.7,51.9,0.06,0,23.5,19.1,0,47.9
580,-0.7,15,22.85,0.93,1.2,18.3,51.4,0.03,0,22.1,19.2,0,47.9
581,-0.6,14,22.9,0.77,1.3,19.1,51.1,0.05,0,22.9,20,1,47.9
582,-0.6,14,22.74,0.7,1.3,19.3,48.9,0.02,-1,22,20,1,47.9
583,-0.8,18,22.48,0.67,1.3,19,50.9,0.1,0,24,20.2,2,47.9
584,0.3,6,27.59,1.15,1.4,19.3,52.2,0.03,0,24.1,20.4,0,47.9
585,0.2,6,26.78,1.14,1.3,20.1,49.7,0.07,0,24.5,21.1,2,47.9
586,-0.4,8,24.75,0.98,1.2,18.5,49.9,0.12,-1,25.5,20.3,-1,47.9
