Air temperature (¡C),Relative humidity (%),Air velocity (m/s),Outdoor monthly air temperature (¡C),Thermal sensation
23.5,43.6,0.08,13,-1
22.9,46.6,0.07,13,-1
22,54.3,0.13,13,-1
23.1,43.7,0.06,13,-1
24.1,43.8,0.08,13,-1
24.1,43.8,0.08,13,-1
23.6,46.9,0.07,27,-1
24.3,47.7,0.04,27,-1
23,46.8,0.12,27,-1
23.1,46.9,0.04,27,-1
23.1,46.9,0.04,27,-1
23.2,49,0.08,27,-1
23.3,48.4,0.09,27,-1
24,46.1,0.02,27,-1
24.2,49.5,0.03,27,-1
22.2,53.1,0.06,27,-1
20.6,50.5,0.1,27,-1
23.2,49,0.2,27,-1
24.9,43,0.16,27,-1
23,29.5,0.17,27,-1
22.3,33.1,0.05,27,-1
22.1,32.8,0.05,27,-1
23.5,34.5,0.08,27,-1
22.2,36.7,0.14,27,-1
19.6,56.7,0.11,4,-1
21,38.7,0.1,4,-1
20.7,41.6,0.11,4,-1
21.3,37.2,0.15,4,-1
22,37,0.09,4,-1
23.7,32.4,0.07,4,-1
22.2,37.3,0.11,4,-1
20.6,43.5,0.06,4,-1
22.2,42.5,0.14,4,-1
23,43.6,0.18,4,-1
23,42.9,0.06,4,-1
22.7,51.7,0.06,4,-1
22.5,48.8,0.09,4,-1
23.1,39.3,0.12,4,-1
21.7,42.4,0.06,4,-1
26.9,36.5,0.3,4,-1
24.4,39.3,0.2,4,-1
31,66.9,0.42,4,-1
29.5,66.5,0.12,4,-1
24.5,16.8,0.09,4,-1
24.9,16.9,0.06,4,-1
27.9,50.8,0.35,4,-1
25.1,53.7,0.05,4,-1
22.8,17.6,0.46,4,-1
24.4,38.4,0.06,4,-1
24.8,47,0.01,4,-1
23.3,51.6,0.01,4,-1
20.3,46.8,0.01,4,-1
20.3,36.2,0.12,4,-1
20.9,33.4,0.01,4,-1
21.5,29.1,0.01,4,-1
25.5,20.4,0,4,-1
24.4,36.2,0.01,4,-1
23.8,43.7,0.01,4,-1
19.6,55.7,0,4,-1
19.4,52.7,0.07,4,-1
21,43.9,0,4,-1
21.8,42.1,0,4,-1
24.8,64.1,0,4,-1
24.3,66.5,0.01,4,-1
23.8,68.2,0.01,4,-1
23.5,69.2,0.01,4,-1
21.3,73.8,0,4,-1
21.9,54.6,0,4,-1
22.8,67.8,0,4,-1
23.4,68.1,0.03,4,-1
26.2,63.2,0,4,-1
25.2,68,0,4,-1
24.8,70.7,0,4,-1
24.4,71.7,0.01,4,-1
24,72.6,0.01,4,-1
23.9,73.5,0.01,4,-1
22.7,74.8,0,4,-1
21.8,58.3,0,4,-1
22.3,51.2,0,4,-1
22.7,50.8,0,4,-1
23.2,50.6,0,4,-1
29.5,34,2.22,4,-1
26.9,50.3,0.01,4,-1
25.6,59.8,0,4,-1
25.2,62.9,0.01,4,-1
24.8,64.8,0.01,4,-1
24.4,66.2,0.01,4,-1
24,67,0,4,-1
21,41.7,0.27,4,-1
21.9,48.6,0.21,4,-1
25.1,20.9,0.14,4,-1
26,33.1,0.34,4,-1
24.8,46.5,0.42,4,-1
24.5,50.8,0.51,4,-1
24.3,51.8,0.62,4,-1
25.4,48.3,0.04,4,-1
23.7,14.1,0.02,4,-1
23.4,14.1,0.04,4,-1
23.1,14.2,0.02,4,-1
25.6,14.2,0.07,4,-1
25.2,30.5,0.02,4,-1
23.7,15.2,0.1,4,-1
25.8,65.2,0.36,4,-1
25.3,52.4,0.01,4,-1
24.9,62.5,0.07,4,-1
25.8,63.6,0.09,4,-1
24.9,16.7,0.01,4,-1
25,35.1,0,4,-1
19.9,48.8,0,4,-1
24.6,14.2,0.01,4,-1
25,14.1,0.01,4,-1
24.9,17.3,0.01,4,-1
25.3,15.4,0.01,4,-1
25,25.4,0,4,-1
25.3,27.7,0.01,4,-1
23.6,38.8,0.01,4,-1
23.5,43.2,0.01,4,-1
19.8,52.2,0.08,4,-1
24.9,45.3,0.01,4,-1
24.5,56,0.01,4,-1
20.7,67.2,0.04,4,-1
25.7,56.8,0,4,-1
26.6,55,0.03,4,-1
24.8,67.3,0.49,4,-1
25.2,63.7,0,4,-1
25.2,65.7,0,4,-1
25.6,66.2,0.01,4,-1
25.2,66.1,0.01,4,-1
22.6,71.2,0.04,4,-1
21.7,56,0.03,4,-1
25.4,55.3,0.04,4,-1
25.2,55.2,0.03,4,-1
23.7,63.6,0.08,4,-1
20.2,35.1,0.09,4,-1
19.9,28.8,0.09,4,-1
25.9,17.4,0.09,4,-1
25.2,17.6,0.09,4,-1
24.8,31.2,0.09,4,-1
20.6,19.9,0.09,4,-1
29.8,80.6,0.56,4,-1
29.1,81.6,0.27,4,-1
28.7,80.9,0.48,4,-1
28.7,80,0.48,4,-1
29.1,81.2,0.29,4,-1
29.5,80.9,1.35,4,-1
26.6,82.5,0.52,4,-1
25.3,83.4,0.71,4,-1
24.7,85.7,0.09,4,-1
23.7,87,0.24,4,-1
23.8,87.2,0.14,4,-1
25.4,84.6,0.4,4,-1
26.3,82.9,1.25,4,-1
26.6,75.5,1.02,4,-1
24,76.3,0.52,4,-1
23.5,77,0.44,4,-1
23.1,78,0.48,4,-1
27.7,76.6,0.18,4,-1
29.1,73.8,0.37,4,-1
24.9,80.9,0.06,4,-1
26.2,79,0.03,4,-1
29.8,70.7,0.12,4,-1
29.8,69.6,0.15,4,-1
30.7,66.9,0.32,4,-1
30.7,66.5,0.29,4,-1
28.9,69.7,0.2,4,-1
30.8,64.4,0.23,4,-1
30.3,63.1,0.23,4,-1
24.9,71.6,0.1,4,-1
25.1,68.5,0.23,4,-1
29.8,61.6,0.46,4,-1
24.7,79,0.05,4,-1
26.6,63.1,0.35,4,-1
26.2,63.1,0.05,4,-1
29.1,66.9,0.06,4,-1
26.6,74.9,0.25,4,-1
30.8,60.5,0.04,4,-1
27,53.7,0.25,4,-1
27.8,45.8,0.12,4,-1
28.7,34,0.24,4,-1
28.2,44.2,0.09,4,-1
27.7,43.2,0.38,4,-1
17.3,66.5,0.15,4,-1
20.3,52.7,0.04,4,-1
22.7,55.6,0.03,4,-1
24.9,43.7,0.09,4,-1
26.2,51.8,0.14,4,-1
18.3,58.3,0.04,4,-1
18.8,57.4,0.01,4,-1
20.3,50.8,0.11,4,-1
20.3,42.7,0.04,4,-1
21.7,49.3,0.05,4,-1
23.6,49.8,0.01,4,-1
16.2,66.9,0.05,4,-1
16.2,70.8,0.03,4,-1
15.7,71.2,0.01,4,-1
16.2,72,0.03,4,-1
16.2,51.8,0.57,4,-1
14.6,60.5,0.53,4,-1
17.3,33.4,0.61,4,-1
16.2,68.9,0,4,-1
21.5,31.1,0.27,4,-1
22.9,21,0.07,4,-1
26.6,14.1,0.13,4,-1
26.2,14.1,0.17,4,-1
21.8,49.3,0.33,4,-1
24.2,19.3,0.15,4,-1
26.5,14.1,0.08,4,-1
26.2,14.1,0.1,4,-1
21.7,28.3,0.19,4,-1
23.7,40.6,0.13,4,-1
25,14.1,0.3,4,-1
26.2,14.1,0.98,4,-1
25,16.7,0.17,4,-1
24.8,58.3,0.08,4,-1
22.5,68.5,0.15,4,-1
28.3,14.6,0.11,4,-1
24.2,63.6,0.36,4,-1
28.5,14.1,0.41,4,-1
28.8,14.1,0.26,4,-1
28.7,14.2,0.61,4,-1
19.4,13.4,0.18,4,-1
21.7,10.3,0.01,4,-1
6.2,83.1,0.02,4,-1
13.4,46.3,0,4,-1
14.6,45.8,0.03,4,-1
14.6,46.3,0.03,4,-1
13.4,43.2,0.01,4,-1
15.7,42.1,0.06,4,-1
15.7,28.2,1.23,4,-1
14,48.8,0.01,4,-1
16.2,34.5,0.54,4,-1
12.2,52.7,0.01,4,-1
14,51.8,0.01,4,-1
15.1,49.3,0.04,4,-1
14,52.7,0.06,4,-1
16.2,46.8,0.44,4,-1
15.1,51.3,1.1,4,-1
16.2,47.3,1.39,4,-1
15.1,51.8,1.31,4,-1
15.7,52.2,0.18,4,-1
11.6,58.2,0.14,4,-1
11.8,55.6,0.27,4,-1
11.8,47.3,0.01,4,-1
15.2,52.7,0.11,4,-1
16.9,53,0.05,4,-1
17.5,53.2,0.18,4,-1
18.3,38.4,0.18,4,-1
16.7,37.4,0.06,4,-1
16.1,41.6,0.03,4,-1
15.8,47.4,0.04,4,-1
15.8,50.5,0.04,4,-1
12,54.2,0,4,-1
14.1,56.9,0.05,4,-1
27.7,12.8,0.04,4,-1
26.8,12.7,0.08,4,-1
25.6,12.7,0.09,4,-1
15.7,48.8,0,4,-1
16.1,51.1,0.02,4,-1
16,51.4,0.54,4,-1
18.3,47,0.02,4,-1
11.8,61.1,0.01,4,-1
16.5,53.7,0.21,4,-1
16,60.3,0.01,4,-1
16.5,63.6,0,4,-1
18.7,60.1,0.18,4,-1
17,58.7,0.18,4,-1
12.6,56.5,0.03,4,-1
14.3,56,0.04,4,-1
17.1,51.4,0.18,4,-1
22.9,11.6,0.18,4,-1
17.7,38.3,0.18,4,-1
17.3,48,0.18,4,-1
17.2,48.5,0.18,4,-1
17.1,52,0.18,4,-1
13.9,56,0.49,4,-1
14.3,53.7,0.18,4,-1
16.5,57,0.18,4,-1
18.8,12,0.18,4,-1
18.7,11.9,0.18,4,-1
19,11.9,0.18,4,-1
12.2,66.1,0,4,-1
15.1,67.3,0.01,4,-1
16.2,45.8,0.05,4,-1
16.8,13.5,0,4,-1
16.8,32.8,0.02,4,-1
19.3,38.9,0.04,4,-1
18.8,38.9,0.02,4,-1
15.7,59.2,0.1,4,-1
18.8,27,0.73,4,-1
18.8,34,0.1,4,-1
20.3,13.5,0.29,4,-1
18.8,17.3,0.02,4,-1
17.3,41.6,0.01,4,-1
14.6,63.6,0.05,4,-1
18.8,13.5,0.01,4,-1
16.2,25.9,0.05,4,-1
18.8,42.1,0.05,4,-1
15.1,29.4,0.26,4,-1
21.3,28.8,0.32,4,-1
21.7,35.1,0.18,4,-1
22.2,39.5,0.1,4,-1
18.8,45.3,0,4,-1
18.3,50.8,0.07,4,-1
18.3,53.7,0.12,4,-1
17.8,56.5,0.05,4,-1
14,64.4,0.01,4,-1
19.3,45.3,0.12,4,-1
19.3,47.3,0.12,4,-1
18.3,53.2,0.18,4,-1
17.3,55.1,0.18,4,-1
18.3,25.3,0.18,4,-1
17.3,30,0.18,4,-1
16.2,33.4,0.18,4,-1
21.3,25.3,0.18,4,-1
17.8,37.8,0.18,4,-1
28.5,61,0.2,4,-1
26.5,68,0.09,4,-1
28.9,45.8,0.01,4,-1
28.6,44.6,0.01,4,-1
21.4,65.1,0.07,4,-1
29.1,54.2,0.01,4,-1
21.5,63.6,0.07,4,-1
21.9,62.7,0.07,4,-1
24.2,59.2,0.11,4,-1
23.3,65.2,0.01,4,-1
23.1,65.2,0.01,4,-1
21.4,58.3,0.08,4,-1
22.8,72.9,0.28,4,-1
21.6,75.2,0.37,4,-1
19.5,77,0.18,4,-1
20,69.7,0.18,4,-1
20.9,65.7,0.28,4,-1
11.6,48.8,0,4,-1
11,51.3,0.01,4,-1
11,51.8,0.01,4,-1
11.6,50.8,0.03,4,-1
18.3,31.7,0.02,4,-1
11,50.3,0.01,4,-1
11.6,49.8,0.02,4,-1
11,50.3,0.06,4,-1
11,50.8,0.03,4,-1
11,51.3,0.03,4,-1
9.7,54.6,0.05,4,-1
10.4,54.6,0.01,4,-1
11,53.2,0.01,4,-1
11.6,48.8,0.1,4,-1
12.2,40.6,0.01,4,-1
15.1,31.1,0.18,4,-1
14.6,30,0.1,4,-1
14,31.7,0.07,4,-1
20.3,22.3,1.31,4,-1
12.8,56.5,0.25,4,-1
12.8,57.9,0.37,4,-1
7.7,62.3,0.16,4,-1
11,57.9,0.16,4,-1
18.3,35.6,0.02,4,-1
19.3,39.5,0.05,4,-1
18.8,34,0.04,4,-1
11.6,52.2,0,4,-1
12.8,50.8,0,4,-1
12.8,51.3,0,4,-1
11,54.6,0.08,4,-1
11,54.6,0.01,4,-1
11,54.6,0,4,-1
11.6,54.6,0.01,4,-1
9.7,57.9,0,4,-1
10.4,56.5,0.01,4,-1
11,66.9,0.24,4,-1
10.4,59.2,0.01,4,-1
10.4,56.5,0.05,4,-1
11.6,53.2,0.07,4,-1
12.8,44.2,0.06,4,-1
14.6,38.9,0.08,4,-1
14.6,37.8,0.08,4,-1
14,38.9,0.16,4,-1
12.8,58.3,0.06,4,-1
11.6,69.7,0.65,4,-1
12.2,65.7,0.61,4,-1
19.8,39.5,0.16,4,-1
21.3,22.3,0.16,4,-1
12.8,61.8,0.46,4,-1
12.8,64.8,0.57,4,-1
12.8,63.6,0.57,4,-1
8.4,65.7,0.16,4,-1
9,64.8,0.16,4,-1
9.7,64,0.16,4,-1
11.6,63.6,0.16,4,-1
14,38.9,0.16,4,-1
12.2,61.4,0.16,4,-1
27.3,37.6,0.1,4,-1
26,30.4,0,4,-1
25.5,14.3,0.21,4,-1
26,31,0.21,4,-1
26.3,13.9,0.44,4,-1
29.3,37.6,0.21,4,-1
26.3,35.6,0.21,4,-1
27.5,34,0.21,4,-1
30.8,38,0.21,4,-1
29.5,39.4,0,4,-1
30.8,34,0.66,4,-1
31.4,32.7,0,4,-1
32,36.2,0.13,4,-1
32.1,36.5,0,4,-1
31.3,37.1,0.62,4,-1
33.9,37.5,0.13,4,-1
29.3,36.7,1.31,4,-1
25.2,34.2,0.37,4,-1
26.3,31.4,0.37,4,-1
29,36.5,0.96,4,-1
29.7,10.5,1.71,4,-1
27.1,38,0.75,4,-1
31.5,31.9,0.44,4,-1
32,30.7,0.44,4,-1
31,29.3,0.53,4,-1
17.7,37,1.45,4,-1
30.6,38.1,0.44,4,-1
31.8,36.1,0.44,4,-1
22.5,36.1,0.44,4,-1
22.5,36,0.44,4,-1
18.6,38,0.44,4,-1
28.6,37.1,0.88,4,-1
31.5,33,0.88,4,-1
28.5,36.1,0.02,4,-1
30.5,36,0.13,4,-1
30.5,35,0.37,4,-1
24.2,35,0.46,4,-1
30.5,37,0.06,4,-1
29.8,37,0.29,4,-1
32.2,36,0.37,4,-1
32.5,34,0.37,4,-1
33.7,35,0.37,4,-1
30.7,34,0.54,4,-1
29.2,33,0.37,4,-1
25.8,37,0.37,4,-1
33.3,31.3,0.27,4,-1
30.5,35.8,0.53,4,-1
30.5,30.9,0.5,4,-1
30.2,29.4,0.66,4,-1
30.5,29.9,0.66,4,-1
31.1,29.4,0.17,4,-1
28.9,32.7,0.18,4,-1
30.9,28.4,0.18,4,-1
30.6,30,0.17,4,-1
19.6,62.3,0.07,4,-1
21.9,63.9,0.04,4,-1
20.6,64.4,0.07,4,-1
23.4,58.8,0.09,4,-1
23,58.2,0.06,4,-1
20.6,61.5,0.07,4,-1
20.1,64,0.08,4,-1
21.7,59.1,0.03,4,-1
21.5,56.5,0.02,4,-1
21.8,52.7,0.01,4,-1
22.4,49.8,0.03,4,-1
19.9,33.4,0.02,4,-1
20.1,28,0.02,4,-1
19.6,44.9,0.02,4,-1
18.8,51.3,0.06,4,-1
19.8,32.1,0.25,4,-1
18.9,44,0.04,4,-1
23.1,21.6,0.01,4,-1
20.3,36.2,0.17,4,-1
20.2,45.3,0.02,4,-1
22.2,27.6,0.23,4,-1
20.9,40.9,0.06,4,-1
21.4,27,0.03,4,-1
21.7,50.3,0.03,4,-1
22.4,37.2,0.02,4,-1
23.4,37.3,0.01,4,-1
20.3,57.9,0.04,4,-1
19.4,56.5,0.14,4,-1
19.6,46.8,0.07,4,-1
20.6,45.8,0.08,4,-1
20.6,35.6,0.05,4,-1
21.3,38.4,0.12,4,-1
20.6,36.2,0.04,4,-1
20.4,30,0.05,4,-1
20.5,32.5,0.04,4,-1
20.7,40.8,0.04,4,-1
19.5,52.1,0.04,4,-1
21.4,49.7,0.14,4,-1
23.3,36.5,0.1,4,-1
20.9,56.7,0.04,4,-1
20.4,45.6,0.03,4,-1
25.1,26.5,0.03,4,-1
21.1,48.5,0.03,4,-1
21,49.9,0.03,4,-1
22.6,42.7,0.18,4,-1
20.5,60.4,0.04,4,-1
21.7,51.8,0.07,4,-1
20.9,61.4,0.04,4,-1
21.8,57.9,0.11,4,-1
21.3,46.4,0.05,4,-1
20.3,49.8,0.03,4,-1
21,44.4,0.02,4,-1
21.3,42.1,0.04,4,-1
20,51.2,0.02,4,-1
21,49,0.03,4,-1
21.8,45.9,0.02,4,-1
21.9,45.4,0.02,4,-1
21,53.3,0.03,4,-1
22,40,0.2,4,-1
21.3,34,0.01,4,-1
22.4,51.5,0.06,4,-1
23.4,48.8,0.21,4,-1
22,67.3,0.34,4,-1
25,50.5,0.06,4,-1
25.4,48.4,0.05,4,-1
23.9,48.3,0.04,4,-1
21.9,45.8,0.07,4,-1
23.4,43.7,0.03,4,-1
22.6,30,0.19,4,-1
22.6,27.6,0.27,4,-1
21.3,55.4,0.04,4,-1
18.5,67.8,0.11,4,-1
18.5,67.8,0.11,4,-1
21.5,46.8,0.08,4,-1
22.5,44.2,0.23,4,-1
22.5,36,0.01,4,-1
19.7,46.4,0.02,4,-1
20.8,40.7,0.03,4,-1
19.2,57.4,0.04,4,-1
22.2,40.8,0.02,4,-1
18.8,59.7,0.01,4,-1
20.6,55.2,0.03,4,-1
22.9,46.8,0.04,4,-1
21,46.6,0.31,4,-1
23.8,44.9,0.06,4,-1
21.1,61,0.05,4,-1
18.7,63,0.08,4,-1
19.3,62.7,0.02,4,-1
22.3,49.8,0.03,4,-1
20.1,58.6,0.07,4,-1
19.8,64.9,0.03,4,-1
21.1,62.6,0.01,4,-1
15.4,63.1,0.07,4,-1
18.2,51.9,0.17,4,-1
21.3,46.8,0.07,4,-1
22.4,31.1,0.21,4,-1
18.5,57.6,0.04,4,-1
26.2,57.8,0.28,4,0
27.2,52.7,0.24,4,0
27.8,50.9,0.07,4,0
28.2,49,0.26,4,0
29,53.8,0.92,4,0
29.4,43.8,0.42,4,0
26.8,67.2,0.12,4,0
26.4,71.6,0.24,4,0
26.4,71.6,0.24,4,0
26.4,71.6,0.24,4,0
26.6,71.1,0.33,4,0
26.9,71.2,0.18,4,0
27.1,71.4,0.21,4,0
26.5,73,0.2,4,0
26.5,73,0.22,4,0
26.8,74.5,0.19,4,0
26.5,69.7,0.38,4,0
26.5,69.7,0.34,4,0
26.8,67.9,0.3,4,0
27,68,0.24,4,0
26.1,70.8,0.54,4,0
26.2,70.8,0.27,4,0
27.4,67.6,0.22,4,0
29.4,67,0.18,4,0
27.6,63.3,0.47,4,0
27.2,66.8,0.26,4,0
27.8,62.8,0.2,4,0
28.9,58.9,0.24,4,0
30.4,61.7,0.42,4,0
28.7,64.1,0.26,4,0
28.7,62.9,0.27,4,0
28.7,62.9,0.27,4,0
28.7,62.9,0.27,4,0
28.7,62.9,0.26,4,0
27.4,54,0.26,4,0
27.4,54,0.25,4,0
26.8,56.5,0.19,4,0
26.8,56.5,0.22,4,0
26.8,56.5,0.22,4,0
26.8,56.5,0.22,4,0
27.4,54.6,0.37,4,0
27.4,54.6,0.37,4,0
27.1,56.1,0.38,4,0
26.7,56.4,0.18,4,0
26.9,56,0.26,4,0
26.9,56,0.21,4,0
26.9,56,0.21,4,0
26.9,56,0.26,4,0
26.5,57.5,0.77,4,0
26.5,58.1,0.28,4,0
26.5,58.1,0.28,4,0
26.5,58.1,0.28,4,0
26.5,58.1,0.28,4,0
26.5,58.1,0.28,4,0
26.5,57.5,0.39,4,0
26.5,53.2,0.27,4,0
26.5,53.2,0.27,4,0
27.2,51.5,0.28,4,0
27.2,51.5,0.28,4,0
27.2,51.5,0.28,4,0
27.2,51.5,0.28,4,0
27.2,51.5,0.28,4,0
27.2,51.5,0.25,4,0
28,48.8,0.34,4,0
28,48.8,0.34,4,0
28,48.8,0.34,4,0
27.5,50,0.06,4,0
27.5,46.6,0.13,4,0
27.7,46.8,0.4,4,0
27.7,46.8,0.06,4,0
26.8,51.1,0.37,4,0
26.8,51.1,0.27,4,0
28.2,41.9,0.28,4,0
27.4,49.4,0.37,4,0
27.6,51.3,0.39,4,0
27.5,47.7,0.39,4,0
28.5,42.3,0.31,4,0
27.7,47.4,0.12,4,0
26.9,48.8,0.26,4,0
27.2,57.5,0.31,4,0
27.2,59.9,0.38,4,0
27.3,67.6,0.29,4,0
27.3,47,0.16,4,0
27.3,47,0.16,4,0
28.9,63,0.24,4,0
29.5,60.5,0.27,4,0
29.6,53.7,0.22,4,0
28.5,59.7,0.33,4,0
26.5,46.6,0.16,4,0
26.6,47.9,0.35,4,0
26.6,47.3,0.25,4,0
26.6,47.9,2.35,4,0
26.6,47.9,0.25,4,0
26.5,47.8,0.35,4,0
25.6,44.4,0.09,4,0
25.6,44.4,0.09,4,0
25.6,44.4,0.09,4,0
24.5,51.7,0.13,4,0
24.9,40,0.05,4,0
23.5,40.5,0.04,4,0
22.5,43.5,0.03,4,0
23.7,36.5,0.08,4,0
22.2,42.5,0.03,4,0
19.9,46.7,0.06,4,0
22.1,40.4,0.02,4,0
24.4,38.7,0.03,4,0
22.2,47.7,0.05,4,0
21.8,59,0.02,4,0
23.3,54.3,0.06,4,0
24.4,31.8,0.01,4,0
23.9,56.3,0.06,4,0
24.6,51.2,0.02,4,0
23.3,44.6,0.01,4,0
21.1,47.7,0.04,4,0
25.2,38.1,0.04,4,0
25.3,38.2,0.01,4,0
21.8,48.6,1.25,4,0
24.9,42.4,0.07,4,0
23,53.3,0.05,4,0
22.1,44.3,0.1,4,0
23.5,43,0.09,4,0
23.7,43.2,0.04,4,0
23.5,42.3,0.01,4,0
24.6,39,0.01,4,0
21.9,62,0.1,4,0
24.6,39,0.02,4,0
23.1,48.2,0.01,4,0
24.2,47,0.01,4,0
24.1,51.9,0.14,4,0
23.2,62.4,0.01,4,0
24.4,56.1,0.07,4,0
24.8,52.7,0.03,4,0
24.5,46.7,0.14,4,0
26.4,43.1,0.01,4,0
25.5,44.3,0.01,4,0
26,43.2,0.01,4,0
22.3,51.9,0.12,4,0
22.6,47.6,0.03,4,0
23.3,53.7,0.08,4,0
23.9,38.6,0.01,4,0
21.5,58,0.02,4,0
21.6,56.7,0.01,4,0
21.6,57.4,0.06,4,0
23.6,52.7,0.06,4,0
24.5,50.5,0.06,4,0
21.4,51.5,0.01,4,0
25.5,39.1,0.18,4,0
23.1,45.6,0.03,4,0
23.5,45.5,0.01,4,0
23.1,45.6,0.05,4,0
22.4,44.7,0.02,4,0
22.3,39.4,0.06,4,0
24.2,37.9,0.04,4,0
22.1,40.4,0.01,4,0
24.2,36.7,0.01,4,0
23.4,46,0.14,4,0
23.1,43.1,0.02,4,0
22.9,42.8,0.04,4,0
20.4,65.1,0.02,4,0
24.9,39.4,0.08,4,0
21.7,56.8,0.03,4,0
24.1,51.3,0.01,4,0
24.7,51.9,0.01,4,0
24.6,49.9,0.01,4,0
24.6,49.3,0.02,4,0
25,49.1,0.08,4,0
24.6,54.4,0,4,0
21.5,55.8,0.01,4,0
24.6,44.4,0.06,4,0
25.1,56.2,0.01,4,0
23.2,41.3,0.01,4,0
25.7,49.3,0.04,4,0
24.2,44.5,0.13,4,0
22.9,59.4,0.11,4,0
25.7,55.5,0.18,4,0
22.9,70.8,0.06,4,0
22.4,56.1,0.02,4,0
21.6,57.4,0.1,4,0
22.6,60.5,0.08,4,0
21.8,56.9,0.19,4,0
24.1,46.9,0.05,4,0
21.4,52.9,0.14,4,0
21.3,53.5,0.07,4,0
23.1,58.9,0.06,4,0
24.9,52.8,0.4,4,0
23.2,60.4,0.02,4,0
23.1,61,0.09,4,0
20.1,66.4,0.08,4,0
22.5,48.8,0.05,4,0
23.5,46.1,0.1,4,0
24.1,45,0.09,4,0
24,43,0.1,4,0
23.8,51.6,0.12,4,0
23.5,46.7,0.11,4,0
22.2,61.5,0.16,4,0
23.4,58.5,0.09,4,0
24.3,58.7,0.25,4,0
22.7,57.1,0.11,4,0
23.9,56.9,0.1,4,0
25,63.3,0.05,4,0
26.3,58.5,0.17,4,0
25.4,63.6,0.14,4,0
23.9,59.6,0.05,4,0
22.5,54.8,0.07,4,0
23.4,50.5,0.07,4,0
23.2,56.9,0.22,4,0
23.6,54.7,0.14,4,0
24.4,49.1,0.33,4,0
21.5,64.6,0.07,4,0
21.6,66.1,0.22,4,0
20.8,65.5,0.06,4,0
20.8,65.5,0.06,4,0
21.9,57,0.1,4,0
21.9,57,0.1,4,0
22,58.5,0.16,4,0
25.8,61.9,0.17,4,0
25.6,63.1,0.07,4,0
25.5,63,0.22,4,0
26.4,60.5,0.13,4,0
22.4,61,0.08,4,0
24.8,58.5,0.13,4,0
24.5,59.5,0.05,4,0
22.3,60.2,0.13,4,0
22.5,59.7,0.25,4,0
22.2,60.8,0.22,4,0
22.9,58.7,0.15,4,0
23.5,48.7,0.12,4,0
23.5,48.7,0.21,4,0
23.5,49.3,0.08,4,0
25.2,52.5,0.07,4,0
24.4,46.6,0.08,4,0
24.1,61.2,0.12,4,0
24.1,61.8,0.05,4,0
23.9,64.4,0.05,4,0
23.7,65,0.1,4,0
25.8,56.2,0.07,4,0
22.5,55.5,0.13,4,0
22.5,55.5,0.14,4,0
24.2,58.6,0.06,4,0
25.7,53.6,0.22,4,0
24.2,57.2,0.06,4,0
24.8,60.4,0.18,4,0
23.7,62.9,0.15,4,0
25.5,58.4,0.2,4,0
23,53.3,0.06,4,0
23.9,58.3,0.14,4,0
22,67.9,0.15,4,0
23.2,50.9,0.2,4,0
25.7,49.9,0.11,4,0
25.6,51,0.17,4,0
23.2,60.4,0.14,4,0
23.3,58.4,0.11,4,0
23.8,47.7,0.15,4,0
24.5,56.9,0.14,4,0
23.2,56.2,0.1,4,0
24.3,64,0.15,4,0
24.9,50.9,0.08,4,0
23.1,44.3,0.2,4,0
22.3,67.4,0.14,4,0
24.1,65.3,0.1,4,0
21,64.9,0.09,4,0
24.5,37.7,0.15,4,0
23.4,59.2,0.06,4,0
22.8,59.3,0.11,4,0
24.9,57.3,0.07,4,0
24.7,55.1,0.06,4,0
24.8,34.7,0.09,4,0
22,36.4,0.15,4,0
22.7,30.8,0.06,4,0
23.4,32.5,0.05,4,0
22.5,34.7,0.06,4,0
23.6,45.6,0.06,4,0
23.5,44.2,0.11,4,0
22.8,45.2,0.09,4,0
21.5,46.8,0.07,4,0
23.2,38.8,0.12,4,0
24.9,34.3,0.26,4,0
23.2,41.3,0.06,4,0
24.8,36.4,0.05,4,0
23.8,40.3,0.38,4,0
24,38.2,0.27,4,0
23.8,42.1,0.17,4,0
24,41.8,0.11,4,0
22.1,50.3,0.12,4,0
21.4,48,0.07,4,0
21.6,50.4,0.1,4,0
22,33.9,0.19,4,0
21.8,32.9,0.17,4,0
22.2,36.7,0.07,4,0
22.2,36.7,0.17,4,0
22.2,36.7,0.13,4,0
22.8,34.6,0.11,4,0
22.5,35.3,0.16,4,0
22.5,30.4,0.18,4,0
21.8,36.7,0.1,4,0
22.1,37.8,0.08,4,0
22.1,37.8,0.08,4,0
21.7,40.4,0.08,4,0
22.9,35.9,0.11,4,0
21.5,39.5,0.07,4,0
22.3,42,0.12,4,0
22.3,42,0.12,4,0
22.3,42,0.12,4,0
21,42.1,0.04,4,0
22.3,42.6,0.12,4,0
22,43.5,0.09,4,0
24.7,39.7,0.29,4,0
23,44.2,0.13,4,0
22.5,44.2,0.16,4,0
22.5,42.9,0.06,4,0
23,41,0.12,4,0
24.9,40,0.07,4,0
24.9,40,0.05,4,0
24.2,42.1,0.1,4,0
26.2,38.3,0.18,4,0
24.9,40,0.15,4,0
22.2,45.1,0.18,4,0
22.9,44.1,0.18,4,0
22.8,45.2,0.16,4,0
23.4,42.2,0.1,4,0
22.5,45.5,0.09,4,0
23.2,44.5,0.11,4,0
23.3,47.8,0.08,4,0
22.9,49.9,0.16,4,0
23.1,49.5,0.13,4,0
22.6,45.6,0.04,4,0
22.6,45.6,0.08,4,0
