Air temperature (¡C),Relative humidity (%),Air velocity (m/s),Outdoor monthly air temperature (¡C),Thermal sensation,Radiant temperature (¡C),Age,Sex,Clo,Met
20.56,30.45,0.03,9,0,20.56,36,1,0.67,1.625
20.39,22.36,0.03,4,1,20.39,36,1,0.72,1.55
21.37,22.36,0.03,9,1,21.37,36,1,0.72,1.25
20.39,22.36,0.03,4,0,20.39,36,1,0.72,1.375
20.8,22.36,0.03,8,0,20.8,36,1,0.72,1.375
21.37,22.36,0.03,10,0,21.37,36,1,0.72,1.425
20.39,22.36,0.03,-1,0,20.39,36,1,0.72,1.875
21.04,22.36,0.03,1,-1,21.04,36,1,0.72,1.25
21.94,22.36,0.03,1,0,21.94,36,1,0.72,1.3
22.02,22.36,0.03,4,1,22.02,36,1,0.72,1.775
21.45,22.36,0.03,5,0,21.45,36,1,0.72,1.3
21.94,22.36,0.03,9,0,21.94,36,1,0.72,1.6
23.32,22.36,0.03,6,1,23.32,36,1,0.72,1.875
22.02,22.36,0.03,8,0,22.02,36,1,0.67,1.5
21.78,22.36,0.03,7,0,21.78,36,1,0.67,1.35
21.78,22.36,0.03,-1,0,21.78,36,1,0.72,1.35
21.04,22.36,0.03,-2,-1,21.04,36,1,0.72,1.425
21.78,22.36,0.03,-1,0,21.78,36,1,0.72,1.425
20.39,22.36,0.03,-4,1,20.39,36,1,0.71,2.875
21.45,22.36,0.03,-2,0,21.45,36,1,0.71,1.45
21.78,22.36,0.03,-1,1,21.78,36,1,0.71,1.175
20.88,22.36,0.03,1,1,20.88,36,1,0.79,2.925
20.96,22.36,0.03,1,0,20.96,36,1,0.79,1.175
21.86,22.36,0.03,1,0,21.86,36,1,0.79,2
20.64,22.36,0.03,-0.277778,0,20.64,36,1,0.71,3.05
21.53,22.36,0.03,4,0,21.53,36,1,0.71,1.175
21.78,22.36,0.03,4,-1,21.78,36,1,0.71,1.65
20.64,22.36,0.03,-2,0,20.64,36,1,0.71,3.05
21.53,22.36,0.03,2,0,21.53,36,1,0.71,1.175
22.18,22.36,0.03,3,0,22.18,36,1,0.71,1.425
20.88,22.36,0.03,3,2,20.88,36,1,0.71,3.175
21.13,22.36,0.03,3,-1,21.13,36,1,0.71,1.2
21.45,22.36,0.03,3,0,21.45,36,1,0.71,1
22.42,31.02,0.03,11,0,22.42,36,1,0.61,1.7
22.51,31.02,0.03,19,0,22.51,36,1,0.61,1.125
23.8,31.02,0.03,23,0,23.8,36,1,0.61,1.1
23.96,31.02,0.03,19,1,23.96,36,1,0.76,2
24.29,31.02,0.03,19,0,24.29,36,1,0.63,2
24.45,31.02,0.03,17,0,24.45,36,1,0.58,1.35
24.29,31.02,0.03,21,0,24.29,36,1,0.58,1.35
22.67,31.02,0.03,21,0,22.67,36,1,0.58,1.1
21.13,31.02,0.03,8,0,21.13,36,1,0.58,1.6
20.8,31.02,0.03,8,-1,20.8,36,1,0.58,1.1
21.04,31.02,0.03,8,-1,21.04,36,1,0.58,1.2
22.34,31.02,0.03,8,0,22.34,36,1,0.67,1.775
22.42,31.02,0.03,12,0,22.42,36,1,0.67,1.1
22.34,31.02,0.03,13,0,22.34,36,1,0.58,3
22.83,31.02,0.03,21,0,22.83,36,1,0.58,1.3
23.8,31.02,0.03,22,0,23.8,36,1,0.58,1.65
22.1,31.02,0.03,16,0,22.1,36,1,0.58,2.875
22.18,31.02,0.03,17,0,22.18,36,1,0.58,1.175
21.37,31.02,0.03,13,0,21.37,36,1,0.58,3.15
22.75,31.02,0.03,16,0,22.75,36,1,0.58,1.3
23.07,31.02,0.03,18,0,23.07,36,1,0.58,1.9
22.42,31.02,0.03,19,0,22.42,36,1,0.58,2.875
22.83,31.02,0.03,23,0,22.83,36,1,0.58,1
24.4,55.63,0.03,32,0,24.4,56,1,0.54,1.267
23.97,55.63,0.03,27,0,23.97,56,1,0.54,1.6
23.97,55.63,0.03,29,1,23.97,56,1,0.54,1.45
24.4,55.63,0.03,29,-1,24.4,56,1,0.54,1.35
24.05,55.63,0.03,29,0,24.05,56,1,0.54,1.45
24.05,55.63,0.03,30,0,24.05,56,1,0.54,1.267
24.31,55.63,0.03,30,0,24.31,56,1,0.54,1.05
24.23,55.63,0.03,28,1,24.23,56,1,0.54,1.567
24.05,55.63,0.03,32,0,24.05,56,1,0.54,1
24.05,55.63,0.03,26,0,24.05,56,1,0.54,1.5
24.05,55.63,0.03,26,-1,24.05,56,1,0.54,1.05
24.23,55.63,0.03,28,-1,24.23,56,1,0.54,1.05
24.4,55.63,0.03,27,-1,24.4,56,1,0.54,1.05
24.05,55.63,0.03,29,-1,24.05,56,1,0.54,1.267
24.23,55.63,0.03,30,0,24.23,56,1,0.54,1
24.14,55.63,0.03,22,-1,24.14,56,1,0.54,1.525
23.97,55.63,0.03,26,-1,23.97,56,1,0.54,1.05
23.8,55.63,0.03,27,1,23.8,56,1,0.54,1.5
24.05,55.63,0.03,28,-1,24.05,56,1,0.54,1.267
23.71,55.63,0.03,26,-1,23.71,56,1,0.54,1.05
24.4,55.63,0.03,25,1,24.4,56,1,0.54,1.75
24.14,55.63,0.03,28.833333,-1,24.14,56,1,0.54,1.05
23.71,55.63,0.03,29,0,23.71,56,1,0.54,1.05
24.31,55.63,0.03,27,0,24.31,56,1,0.54,1.567
24.23,55.63,0.03,32,0,24.23,56,1,0.54,1.45
24.23,55.63,0.03,31,-1,24.23,56,1,0.54,1.05
25.08,55.63,0.03,26,0,25.08,56,1,0.51,1.05
24.31,55.63,0.03,26,-1,24.31,56,1,0.51,1.033
25.17,55.63,0.03,25,0,25.17,56,1,0.51,1.05
25.6,55.63,0.03,21,0,25.6,56,1,0.58,1.05
24.05,55.63,0.03,21,0,24.05,56,1,0.58,1.3
22.34,30.45,0.03,8,0,22.34,56,1,0.67,1.5
23.28,30.45,0.03,9,-1,23.28,56,1,0.67,1.65
23.2,30.45,0.03,10,0,23.2,56,1,0.67,1.25
22.6,30.45,0.03,10,-1,22.6,56,1,0.43,1.25
23.71,30.45,0.03,11,-1,23.71,56,1,0.43,1.167
23.54,30.45,0.03,10,-1,23.54,56,1,0.43,1.167
22.34,30.45,0.03,8,-1,22.34,56,1,0.58,1.867
23.71,30.45,0.03,10,-1,23.71,56,1,0.58,1
24.31,30.45,0.03,9,-1,24.31,56,1,0.58,1.125
21.57,30.45,0.03,5,-1,21.57,56,1,0.58,1.45
23.54,30.45,0.03,8,-2,23.54,56,1,0.58,1.3
23.54,30.45,0.03,6,-1,23.54,56,1,0.58,1.2
21.99,30.45,0.03,3,-1,21.99,56,1,0.94,1.5
23.54,30.45,0.03,7,-1,23.54,56,1,0.94,1
23.54,30.45,0.03,4,-1,23.54,56,1,0.58,1.25
21.57,30.45,0.03,4,0,21.57,56,1,0.67,1.75
21.65,30.45,0.03,6,0,21.65,56,1,0.58,1.75
24.05,30.45,0.03,9,-1,24.05,56,1,0.58,1.25
23.54,30.45,0.03,21,0,23.54,56,1,0.58,1.3
23.2,30.45,0.03,18,-1,23.2,56,1,0.58,1.2
23.2,30.45,0.03,7,1,23.2,56,1,0.58,1.2
23.71,30.45,0.03,7,-1,23.71,56,1,0.58,1.125
23.71,22.36,0.03,7,-1,23.71,56,1,0.51,1.375
24.57,22.36,0.03,9,-1,24.57,56,1,0.51,1.3
25,22.36,0.03,9,0,25,56,1,0.51,1.125
24.23,22.36,0.03,4,-1,24.23,56,1,0.58,1.45
25,22.36,0.03,8,-1,25,56,1,0.58,1.2
25.08,22.36,0.03,12,0,25.08,56,1,0.67,1.433
25.77,22.36,0.03,18,0,25.77,56,1,0.67,1.325
23.28,22.36,0.03,7,0,23.28,56,1,0.67,1.867
25.08,22.36,0.03,7,-1,25.08,56,1,0.67,1.6
24.91,22.36,0.03,4,0,24.91,56,1,0.67,1
24.23,22.36,0.03,-1,-1,24.23,56,1,0.56,1.433
24.05,22.36,0.03,-2,-1,24.05,56,1,0.56,1.2
22.6,22.36,0.03,-3,-1,22.6,56,1,0.67,1.65
23.28,22.36,0.03,-1,-1,23.28,56,1,0.67,1.125
23.71,22.36,0.03,-1,-1,23.71,56,1,0.67,1.2
22.68,22.36,0.03,0,0,22.68,56,1,0.58,1.85
24.05,22.36,0.03,1,0,24.05,56,1,0.58,1.375
23.37,22.36,0.03,1,0,23.37,56,1,0.67,1.65
24.4,22.36,0.03,4,0,24.4,56,1,0.67,1.125
23.28,22.36,0.03,0,0,23.28,56,1,0.58,1.125
24.14,22.36,0.03,3,0,24.14,56,1,0.58,1.125
23.54,31.02,0.03,12,0,23.54,56,1,0.58,1.65
24.4,31.02,0.03,17,1,24.4,56,1,0.58,1.375
22.85,31.02,0.03,5,-1,22.85,56,1,0.58,1.325
23.71,31.02,0.03,7,-1,23.71,56,1,0.58,1.2
24.74,31.02,0.03,9,0,24.74,56,1,0.58,1.125
25.08,31.02,0.03,10,0,25.08,56,1,0.58,1.125
25.77,31.02,0.03,12,0,25.77,56,1,0.67,1.65
26.02,31.02,0.03,14,0,26.02,56,1,0.67,1.2
25,31.02,0.03,17,0,25,56,1,0.67,1.167
26.45,31.02,0.03,23,0,26.45,56,1,0.58,1
27.48,31.02,0.03,27.166667,0,27.48,56,1,0.58,1.325
27.14,31.02,0.03,28,0,27.14,56,1,0.58,1.325
26.79,31.02,0.03,24,1,26.79,56,1,0.58,1.65
27.48,31.02,0.03,31,1,27.48,56,1,0.58,1.125
26.45,31.02,0.03,21,1,26.45,56,1,0.58,1.25
25.08,31.02,0.03,21,0,25.08,56,1,0.58,1
22.85,31.02,0.03,14,-1,22.85,56,1,0.58,1
22.68,31.02,0.03,9,-1,22.68,56,1,0.58,1
22.85,31.02,0.03,8,-2,22.85,56,1,0.83,1
23.63,31.02,0.03,9,-1,23.63,56,1,0.58,1
23.94,55.63,0.03,26,0,23.94,34,2,0.34,1.6
23.86,55.63,0.03,28,0,23.86,34,2,0.34,1.267
23.83,55.63,0.03,28,1,23.83,34,2,0.34,1.267
23.79,55.63,0.03,25,1,23.79,34,2,0.51,1.6
23.79,55.63,0.03,26,1,23.79,34,2,0.43,1.5
23.83,55.63,0.03,27,0,23.83,34,2,0.51,1.05
23.94,55.63,0.03,28,1,23.94,34,2,0.44,1.6
23.94,55.63,0.03,31,0,23.94,34,2,0.44,1.267
24.09,55.63,0.03,33,-1,24.09,34,2,0.44,1.05
24.09,55.63,0.03,28,1,24.09,34,2,0.44,1.6
24.46,55.63,0.03,32,0,24.46,34,2,0.44,1.35
24.24,55.63,0.03,27,1,24.24,34,2,0.44,1.4
24.05,55.63,0.03,29,0,24.05,34,2,0.44,1.1
24.09,55.63,0.03,30,0,24.09,34,2,0.44,1
23.83,55.63,0.03,26,0,23.83,34,2,0.44,1.5
23.83,55.63,0.03,26,-1,23.83,34,2,0.44,1.1
24.05,55.63,0.03,25,2,24.05,34,2,0.41,1.6
24.09,55.63,0.03,28,2,24.09,34,2,0.41,2
24.05,55.63,0.03,28,1,24.05,34,2,0.44,1.548
24.16,55.63,0.03,31,0,24.16,34,2,0.44,1
24.16,55.63,0.03,32,0,24.16,34,2,0.44,1.1
24.2,55.63,0.03,25,0,24.2,34,2,0.36,1.73
23.86,55.63,0.03,27,0,23.86,34,2,0.36,1.5
23.94,55.63,0.03,19,1,23.94,34,2,0.41,1.548
23.94,55.63,0.03,21,-1,23.94,34,2,0.41,1.2
23.64,55.63,0.03,21,0,23.64,34,2,0.41,1.2
21.66,30.45,0.03,9,0,21.66,34,2,0.59,1.45
21.85,30.45,0.03,11,0,21.85,34,2,0.51,1.425
22.03,30.45,0.03,10,1,22.03,34,2,0.59,1.175
21.55,30.45,0.03,10,2,21.55,34,2,0.55,1.65
22.11,30.45,0.03,11,1,22.11,34,2,0.55,1.798
22.11,30.45,0.03,11,1,22.11,34,2,0.55,1.483
21.77,30.45,0.03,10,1,21.77,34,2,0.42,1.925
22,30.45,0.03,10,-1,22,34,2,0.42,1.075
22.07,30.45,0.03,10,-1,22.07,34,2,0.42,1.075
20.87,30.45,0.03,5,-1,20.87,34,2,0.63,1.558
21.17,30.45,0.03,6,-1,21.17,34,2,0.29,1.175
21.25,30.45,0.03,8,1,21.25,34,2,0.63,1.25
20.75,30.45,0.03,4,0,20.75,34,2,0.57,1.65
20.94,30.45,0.03,3,-2,20.94,34,2,0.57,1.4
21.17,30.45,0.03,3,1,21.17,34,2,0.57,1.3
20.72,30.45,0.03,6,0,20.72,34,2,0.43,1.85
21.25,30.45,0.03,9,-1,21.25,34,2,0.43,1.35
21.7,30.45,0.03,11,0,21.7,34,2,0.43,1.075
21.55,30.45,0.03,11,1,21.55,34,2,0.62,1.8
22.15,30.45,0.03,13,0,22.15,34,2,0.62,1.2
22.74,30.45,0.03,21,1,22.74,34,2,0.48,1.85
22.3,30.45,0.03,7,1,22.3,34,2,0.57,1.85
22.37,30.45,0.03,7,0,22.37,34,2,0.57,1.175
22.15,30.45,0.03,8,1,22.15,34,2,0.57,1.4
20.94,22.36,0.03,4,1,20.94,34,2,0.44,1.7
21.47,22.36,0.03,9,0,21.47,34,2,0.44,1.4
21.81,22.36,0.03,10,1,21.81,34,2,0.44,2
21.4,22.36,0.03,6,0,21.4,34,2,0.46,1.475
21.77,22.36,0.03,8,0,21.77,34,2,0.46,1.225
22.22,22.36,0.03,10,0,22.22,34,2,0.46,1.567
20.02,22.36,0.03,-1,0,20.02,34,2,0.71,1.798
20.64,22.36,0.03,1,-1,20.64,34,2,0.71,1.2
20.75,22.36,0.03,2,0,20.75,34,2,0.71,1.25
21.47,22.36,0.03,8,1,21.47,34,2,0.85,1.815
21.85,22.36,0.03,12,2,21.85,34,2,0.38,1.55
21.85,22.36,0.03,12,2,21.85,34,2,0.45,1.865
22.44,22.36,0.03,7,-1,22.44,34,2,0.49,1.808
22.44,22.36,0.03,7,-1,22.44,34,2,0.49,1.275
20.79,22.36,0.03,-2,-1,20.79,34,2,0.401,1.808
20.91,22.36,0.03,-1,-1,20.91,34,2,0.401,1.3
20.94,22.36,0.03,-1,-1,20.94,34,2,0.401,1.55
19.83,22.36,0.03,-4,-1,19.83,34,2,0.59,1.798
20.41,22.36,0.03,-2,-1,20.41,34,2,0.59,1.2
20.56,22.36,0.03,-1,0,20.56,34,2,0.59,1.25
20.02,22.36,0.03,0,0,20.02,34,2,0.52,1.815
20.33,22.36,0.03,1,0,20.33,34,2,0.52,1.35
20.56,22.36,0.03,1,0,20.56,34,2,0.52,1.1
20.18,22.36,0.03,1,0,20.18,34,2,0.54,1.85
20.64,22.36,0.03,4,0,20.64,34,2,0.54,1.075
20.94,22.36,0.03,4,0,20.94,34,2,0.54,1.25
20.02,22.36,0.03,-1,0,20.02,34,2,0.57,1.798
20.48,22.36,0.03,2,0,20.48,34,2,0.63,1.3
20.64,22.36,0.03,3,1,20.64,34,2,0.63,1.1
20.6,22.36,0.03,3,0,20.6,34,2,0.81,1.573
20.79,22.36,0.03,3,0,20.79,34,2,0.81,1.175
20.98,22.36,0.03,3,0,20.98,34,2,0.81,1.45
23.84,30.67,0.03,17,1,23.84,34,2,0.49,1.683
24.73,30.14,0.03,23,1,24.73,34,2,0.49,1.267
22.44,47.3,0.03,16,-1,22.44,34,2,0.38,1.5
21.37,39.64,0.03,8,-1,21.37,34,2,0.65,1.54
21.99,39.21,0.03,8,0,21.99,34,2,0.65,1.2
22.54,38.81,0.03,9,0,22.54,34,2,0.65,1.25
22.92,29.08,0.03,13,0,22.92,34,2,0.5,1.798
24.95,42.11,0.03,23,0,24.95,34,2,0.45,1
23.04,45.97,0.03,16,0,23.04,34,2,0.511,1.723
23.24,42.21,0.03,17,0,23.24,34,2,0.511,1.05
23.31,43.87,0.03,16,0,23.31,34,2,0.69,1.4
23.69,47.04,0.03,18,0,23.69,34,2,0.45,1.25
23.26,57.8,0.03,26,1,23.26,34,2,0.37,1.615
23.33,58.62,0.03,26,0,23.33,34,2,0.37,1.15
23.28,53.36,0.03,30,-2,23.28,46,2,0.32,1.35
23.21,53.66,0.03,29,-1,23.21,46,2,0.32,1.35
21.44,55.15,0.03,28,-1,21.44,46,2,0.31,1
21.2,56.01,0.03,29,-1,21.2,46,2,0.31,1.5
21.82,56.51,0.03,26,-2,21.82,46,2,0.56,1.35
22.15,54.66,0.03,27,-1,22.15,46,2,0.26,1.1
22.54,55.68,0.03,27,1,22.54,46,2,0.31,1.6
22.68,54.65,0.03,32,-2,22.68,46,2,0.31,1.45
23.33,57.85,0.03,29,0,23.33,46,2,0.34,1.6
23.35,56.11,0.03,30,-1,23.35,46,2,0.34,1
23.3,55.14,0.03,31,-1,23.3,46,2,0.34,1.5
22.11,51.84,0.03,29,0,22.11,46,2,0.32,1.4
23.47,55.2,0.03,30,0,23.47,46,2,0.34,1.425
23.16,56.12,0.03,28,0,23.16,46,2,0.34,1.6
23.3,57.53,0.03,31,-2,23.3,46,2,0.56,1.475
18.94,30.82,0.03,6,-2,18.94,46,2,0.95,1.867
19.91,30.84,0.03,6,0,19.91,46,2,0.55,1.05
22.54,25.4,0.03,8,0,22.54,46,2,0.55,1
20.79,26.05,0.03,6.277778,-1,20.79,46,2,0.77,1.05
20.41,25.48,0.03,7,1,20.41,46,2,0.77,1.18
20.53,27.71,0.03,3,-2,20.53,46,2,0.95,1.317
21.65,26.04,0.03,9,0,21.65,46,2,0.69,1.3
21.63,25.5,0.03,11,0,21.63,46,2,0.69,1.563
20.58,25.83,0.03,8,0,20.58,46,2,0.5,1.36
21.08,41.87,0.03,9,0,21.08,46,2,1.01,1.85
21.77,40.46,0.03,7,-1,21.77,46,2,0.69,1.1
21.68,37.81,0.03,8,0,21.68,46,2,0.69,1.625
18.63,32.75,0.03,5,-2,18.63,46,2,1.4,1.778
21.51,30.11,0.03,9,-1,21.51,46,2,0.55,1.4
18.7,28.67,0.03,5,-2,18.7,46,2,0.93,1.825
22.11,27.6,0.03,8,-1,22.11,46,2,0.93,1.317
22.94,26.96,0.03,9,0,22.94,46,2,0.93,1.733
19.94,30.28,0.03,4,-2,19.94,46,2,0.78,1.548
23.06,27.88,0.03,9,-1,23.06,46,2,0.78,1.375
22.75,29.44,0.03,10,0,22.75,46,2,0.78,1.1
23.11,23.94,0.03,8,0,23.11,46,2,0.84,1.5
23.47,23.65,0.03,10,2,23.47,46,2,0.84,1.5
24.24,19.15,0.03,1,0,24.24,46,2,0.38,1.4
23.86,21.1,0.03,2,1,23.86,46,2,0.38,1.1
24.2,23.15,0.03,4,1,24.2,46,2,0.51,1.82
23.95,26.62,0.03,8,1,23.95,46,2,0.51,1.45
23.4,25.56,0.03,7,0,23.4,46,2,0.54,1.778
23.33,25.79,0.03,7,0,23.33,46,2,0.54,1.275
24.07,23.76,0.03,6,0,24.07,46,2,0.54,1.4
24.44,17.83,0.03,-1,-1,24.44,46,2,0.83,1.85
23.74,18.67,0.03,-1,0,23.74,46,2,0.83,1.583
24.46,16.09,0.03,-1,0,24.46,46,2,0.83,1.1
21.96,16.1,0.03,-3,0,21.96,46,2,0.78,1.792
23.59,15.9,0.03,-1,1,23.59,46,2,0.78,1
22.82,16.91,0.03,-1,0,22.82,46,2,0.78,1.3
24.48,19.44,0.03,1,2,24.48,46,2,0.61,1.1
22.92,21.38,0.03,1,0,22.92,46,2,0.61,1.1
23.59,21.39,0.03,3,0,23.59,46,2,0.64,1.2
23.42,21.52,0.03,4,-2,23.42,46,2,0.64,1.3
22.42,22.35,0.03,4,-1,22.42,46,2,0.64,1.525
23.14,17.9,0.03,0,0,23.14,46,2,0.79,1.79
22.34,18.93,0.03,2,0,22.34,46,2,0.79,1.35
23.88,17.46,0.03,3,-1,23.88,46,2,0.79,1.5
24.65,22.91,0.03,3,0,24.65,46,2,0.77,1.5
23.35,24.74,0.03,3,0,23.35,46,2,0.77,1.3
22.06,38.21,0.03,8,-1,22.06,46,2,0.84,1.45
21.7,39.57,0.03,8,0,21.7,46,2,0.84,1.1
21.72,40.65,0.03,9,0,21.72,46,2,0.84,1.3
22.42,27.79,0.03,9.444444,0,22.42,46,2,0.8,1.49
23.09,56.48,0.07,28,1,23.16,50,2,0.75,1.6
24.27,51.6,0.03,29,1,24.37,50,2,0.45,1.367
22.58,55.5,0.08,26,-1,22.46,50,2,0.34,1.6
23.52,51.44,0.05,28,0,23.57,50,2,0.64,1.05
23.54,50.9,0.04,28,-1,23.64,50,2,0.34,1.267
22.34,56.03,0.13,24,-1,22.24,50,2,0.34,1.6
23.04,53.7,0.09,27,0,22.99,50,2,0.34,1.45
23.35,52.11,0.05,27,-1,23.38,50,2,0.36,1.05
22.3,56.52,0.19,27,-1,22.19,50,2,0.44,1.6
23.26,54.2,0.02,31,-1,23.28,50,2,0.74,1.05
24.03,52.45,0.04,33,-1,24.03,50,2,0.44,1.267
23.09,59.13,0.08,28,-1,23.09,50,2,0.24,1.6
23.88,57.68,0.03,32,1,23.93,50,2,0.24,1.7
24.7,55.38,0.03,33,1,24.73,50,2,0.24,1.35
24.12,57.35,0.05,29,-1,24.17,50,2,0.34,1.6
24.1,54.91,0.02,30,0,24.17,50,2,0.34,1.7
24.58,51.96,0.04,31,1,24.53,50,2,0.34,1.9
22.73,48.29,0.13,26,-1,22.6,50,2,0.34,1.6
23.11,48.4,0.04,28,-1,23.09,50,2,0.44,1.6
23.54,48.56,0.05,29,0,23.5,50,2,0.44,1.58
22.94,57.14,0.06,27,0,22.94,50,2,0.56,1.5
23.74,53.39,0.04,31,1,23.79,50,2,0.34,2
24.1,52.18,0.04,31,0,24.22,50,2,0.34,1.05
23.23,58.66,0.03,29,0,23.16,50,2,0.49,1.5
24,56.02,0.04,32,1,24.03,50,2,0.49,1.475
24.97,54.44,0.12,33,1,24.94,50,2,0.49,1.6
23.52,60.68,0.04,26,0,23.47,50,2,0.24,1.483
23.71,57.28,0.04,23,-1,23.81,50,2,0.24,1.05
23.59,56.27,0.05,26,-2,23.74,50,2,0.52,1.5
24.36,60.62,0.03,25,1,24.34,50,2,0.52,1.2
24.53,42.23,0.03,21,1,24.46,50,2,0.73,1.325
23.47,42.01,0.1,21,2,23.45,50,2,0.73,1.36
21.77,28.75,0.03,4,-1,21.35,50,2,0.99,1.48
22.97,27.36,0.09,6,0,22.84,50,2,0.99,1.3
23.11,27,0.02,8,0,22.96,50,2,0.99,1.4
22.25,24.01,0.07,3,-1,22.1,50,2,0.59,1.4
23.4,23.3,0.02,7,1,23.2,50,2,0.57,1.517
23.66,23.05,0.02,7,1,23.54,50,2,0.57,1.471
22.37,23.3,0.12,4,-1,22.11,50,2,0.99,1.513
22.99,26.14,0.03,2,1,22.84,50,2,0.99,1.571
23.38,26.27,0.03,2,1,23.25,50,2,0.99,1.167
23.21,23.5,0.06,6,0,22.86,50,2,0.61,1.583
23.86,23.99,0.02,9,0,23.83,50,2,0.61,1.25
24.17,23.94,0.05,11,0,24.17,50,2,0.61,1.15
23.26,23.23,0.05,7,-1,22.93,50,2,1.08,1.6
23.86,23.95,0.03,10,1,23.76,50,2,1.08,1.325
23.76,36.01,0.02,8,1,23.64,50,2,0.69,1.583
23.88,35.69,0.03,8,1,23.78,50,2,0.59,1.4
22.11,27.57,0.07,5,0,21.86,50,2,0.72,1.657
23.59,28.36,0.03,7.944444,1,23.52,50,2,0.72,1.5
24.27,27.63,0.02,9,2,24.17,50,2,0.62,1.514
22.87,25.52,0.1,5,1,22.59,50,2,0.94,1.614
23.66,26.19,0.02,8,1,23.57,50,2,0.94,1.371
24.22,26.27,0.03,9,1,24.14,50,2,0.94,1.583
23.14,24.79,0.11,6,0,22.93,50,2,0.84,1.614
23.26,25.69,0.03,8,0,23.18,50,2,0.84,1.42
24.05,24.86,0.03,9,1,24.03,50,2,0.66,1.514
23.04,25.74,0.03,4,0,22.99,50,2,0.69,1.45
23.93,26.14,0.03,9,0,23.68,50,2,0.69,1.25
25.45,26.26,0.07,10,1,25.22,50,2,0.69,1.2
23.21,25.58,0.02,6,1,22.96,50,2,0.73,1.633
25.38,22.26,0.1,10,1,25.17,50,2,0.73,1.3
24.24,16.53,0.02,-1,2,24.19,50,2,0.81,1.62
25.55,18.24,0.08,1,0,25.5,50,2,0.81,1.2
24.12,21.25,0.11,2,0,23.99,50,2,0.81,1.5
25.23,30.99,0.03,12,1,25.03,50,2,0.54,1.583
23.23,26.57,0.02,7,2,23.18,50,2,0.69,1.66
24.41,25.57,0.02,7,1,24.29,50,2,0.69,1.567
24.82,22.09,0.03,6,2,24.85,50,2,0.69,1.467
23.33,20.82,0.02,-1,-1,23.2,50,2,0.66,1.633
23.98,19.2,0.03,-1,-1,23.9,50,2,0.66,1.478
24,19.17,0.03,-1.222222,0,23.98,50,2,0.66,1.1
21.65,17.06,0.16,-3,-1,21.44,50,2,0.8,1.822
23.02,17.55,0.03,-2,0,22.92,50,2,0.8,1.2
23.38,17.78,0.02,-1,1,23.28,50,2,0.8,1.433
22.23,20,0.02,0,-1,22.08,50,2,0.85,1.557
23.26,21.13,0.06,1,0,23.08,50,2,0.85,1.2
23.59,21.18,0.09,1,0,23.36,50,2,0.85,1.433
22.39,23.03,0.06,1,0,22.22,50,2,0.8,1.6
23.47,22.21,0.15,4,-1,23.26,50,2,0.8,1.433
24.12,20.94,0.1,4,2,23.92,50,2,0.8,1.514
22.34,18.97,0.1,-1,-1,22.14,50,2,0.79,1.614
23.42,18.34,0.06,2,1,23.22,50,2,0.69,1.25
23.86,18.08,0.05,3,-1,23.66,50,2,0.69,1.5
22.94,22.66,0.14,3,-1,22.71,50,2,0.75,1.583
23.42,23.82,0.02,3,2,23.18,50,2,0.75,1.571
24.51,39.38,0.02,22,0,24.38,50,2,0.5,1.567
26.5,34.33,0.07,28,2,26.55,50,2,0.4,1.275
25.48,39.09,0.04,24,0,25.38,50,2,0.38,1.55
25.57,41.66,0.03,31,0,25.55,50,2,0.38,1.583
26.7,40.6,0.06,31,2,26.8,50,2,0.38,1.42
24.92,49.28,0.03,21,1,24.77,50,2,0.61,1.514
23.33,51.54,0.03,21,0,23.33,50,2,0.63,1.4
22.75,47.21,0.05,16,0,23.05,50,2,0.63,1.42
22.75,30.31,0.03,13,0,22.63,50,2,0.9,1.579
23.57,30.75,0.02,13.611111,0,23.57,50,2,0.9,1.311
24.1,37.76,0.02,21,1,24.05,50,2,0.68,1.2
26.23,39.56,0.06,22,2,26.1,50,2,0.58,1.383
22.9,46.56,0.02,16,-2,22.92,50,2,0.48,1.517
23.23,43.22,0.03,17,-2,23.36,50,2,0.48,1.42
24.12,40.45,0.03,21,1,24.2,50,2,0.48,1.514
23.18,43.6,0.02,16,-1,23.26,50,2,0.64,1.175
23.93,45.11,0.04,18,0,23.9,50,2,0.44,1.333
23.57,54.34,0.05,23,0,23.57,50,2,0.71,1.175
23.54,58.22,0.03,26,1,23.54,50,2,0.46,1.4
21.34,29.56,0.03,10,-1,21.17,50,2,1.06,1.55
22.85,28.64,0.06,12,-1,22.85,50,2,1.06,1.4
23.4,28.07,0.07,11,0,23.35,50,2,1.06,1.275
23.68,55.63,0.03,27,-1,23.68,29,1,0.43,4
23.97,55.63,0.03,30,-2,23.97,29,1,0.43,1.267
23.38,55.63,0.03,29,-1,23.38,29,1,0.43,1.05
23.97,55.63,0.03,26,1,23.97,29,1,0.43,4
23.46,55.63,0.03,28,-2,23.46,29,1,0.43,1.267
23.46,55.63,0.03,29,0,23.46,29,1,0.43,1.05
24.41,55.63,0.03,27,1,24.41,29,1,0.43,4
23.68,55.63,0.03,31,0,23.68,29,1,0.43,1.367
23.6,55.63,0.03,32,-2,23.6,29,1,0.43,1
23.97,55.63,0.03,28,0,23.97,29,1,0.34,4
24.41,55.63,0.03,32,1,24.41,29,1,0.34,2
24.41,55.63,0.03,33,-1,24.41,29,1,0.34,1.05
24.85,55.63,0.03,29,1,24.85,29,1,0.43,4
